-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,75,26,-1,27,28,135,136,137,135,136,137,27,-1,-1,26,135,136,137,28,135,136,137,135,136,137,-1,27,26,135,136,137,27,-1,135,136,137,-1,-1,-1
-1,-1,-1,88,39,-1,-1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,-1,-1,-1,41,-1,-1,-1,-1,-1,-1,-1,-1,39,-1,-1,-1,-1,-1,-1,-1,67,-1,-1,-1
-1,-1,-1,101,-1,-1,-1,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,-1,-1,-1,-1,-1,-1,93,-1,-1,-1
-1,-1,-1,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,14,15,45,46,33,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,55,56,46,31,44,46,57,45,-1,-1,68,-1,-1,-1,-1,-1,-1,75,-1,-1,-1,-1,-1,-1
-1,-1,-1,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,-1,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,88,-1,81,-1,-1,-1,-1,-1,-1,88,-1,-1,95,-1,-1,-1
-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,-1,-1,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,136,27,136,124,27,26,-1,-1,-1,67,-1,-1,-1
-1,-1,-1,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,136,27,135,136,137,27,135,136,137,-1,-1,-1,-1,-1,-1,-1,-1,39,-1,-1,-1,80,-1,-1,-1
-1,-1,-1,100,-1,-1,-1,42,43,3,4,5,6,7,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,-1,-1,-1,-1,-1,-1,0,1,2,-1,-1,-1,-1,93,-1,-1,-1
-1,-1,-1,49,-1,-1,-1,55,56,16,17,18,19,20,31,32,33,-1,44,31,32,33,13,14,15,-1,44,-1,-1,31,32,13,14,15,44,31,32,33,16,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
